t,x,y,z
0.0,1.5,1.5,1.0
0.0,1.5,1.5,1.0
0.0,1.5,1.5,1.0
0.10000000000000009,1.5,1.6570796966552734,1.0
0.10000000000000009,1.5,1.6570796966552734,1.0
0.10000000000000009,1.5,1.6570796966552734,1.0
0.10000000000000009,1.5,1.6570796966552734,1.0
0.20000000000000018,1.4754273891448975,1.8122254610061646,1.0
0.20000000000000018,1.4754273891448975,1.8122254610061646,1.0
0.20000000000000018,1.4754273891448975,1.8122254610061646,1.0
0.30000000000000027,1.4268871545791626,1.961617112159729,1.0
0.30000000000000027,1.4268871545791626,1.961617112159729,1.0
0.30000000000000027,1.4268871545791626,1.961617112159729,1.0
0.40000000000000036,1.3555744886398315,2.101576089859009,1.0
0.40000000000000036,1.3555744886398315,2.101576089859009,1.0
0.40000000000000036,1.3555744886398315,2.101576089859009,1.0
0.5000000000000004,1.2632453441619873,2.22865629196167,1.0
0.5000000000000004,1.2632453441619873,2.22865629196167,1.0
0.5000000000000004,1.2632453441619873,2.22865629196167,1.0
0.6000000000000005,1.1521732807159424,2.339728355407715,1.0
0.6000000000000005,1.1521732807159424,2.339728355407715,1.0
0.6000000000000005,1.1521732807159424,2.339728355407715,1.0
0.7000000000000006,1.0250931978225708,2.4320573806762695,1.0
0.7000000000000006,1.0250931978225708,2.4320573806762695,1.0
0.7000000000000006,1.0250931978225708,2.4320573806762695,1.0
0.8000000000000007,0.885134220123291,2.5033700466156006,1.0
0.8000000000000007,0.885134220123291,2.5033700466156006,1.0
0.8000000000000007,0.885134220123291,2.5033700466156006,1.0
0.9000000000000008,0.7357426285743713,2.551910400390625,1.0
0.9000000000000008,0.7357426285743713,2.551910400390625,1.0
0.9000000000000008,0.7357426285743713,2.551910400390625,1.0
1.0000000000000004,0.580596923828125,2.5764830112457275,1.0
1.0000000000000004,0.580596923828125,2.5764830112457275,1.0
1.0000000000000004,0.580596923828125,2.5764830112457275,1.0
1.1,0.42351728677749634,2.5764830112457275,1.0
1.1,0.42351728677749634,2.5764830112457275,1.0
1.1,0.42351728677749634,2.5764830112457275,1.0
